Source,Description,ID,Units,Link,Analyzed timeframe ,Link,Resolution,Data access,Source,Category,Reference
Latitude,Latitude,Latitude,degrees,http://1001genomes.org/accessions.html,NA,http://1001genomes.org/accessions.html,NA,NA,Geography and physical terrain,Geography and physical terrain,"Consortium, G. 1,135 Genomes Reveal the Global Pattern of Polymorphism in Arabidopsis thaliana. Cell 166, 481-491 (2016)."
Longitude,Longitude,Longitude,degrees,http://1001genomes.org/accessions.html,NA,http://1001genomes.org/accessions.html,NA,NA,Geography and physical terrain,Geography and physical terrain,"Consortium, G. 1,135 Genomes Reveal the Global Pattern of Polymorphism in Arabidopsis thaliana. Cell 166, 481-491 (2016)."
Measurements_of_Pollution_In_The_Troposphere_(MOPITT),MOPITT Carbon monoxide spring,CO_Spring,ppbv,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOP_CO_M,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOP_CO_M,0.25°,15-Feb-17,Satellite,Atmospheric,"Deeter, M.N. et al. Operational carbon monoxide retrieval algorithm and selected results for the MOPITT instrument. Journal of Geophysical Research: Atmospheres 108(2003)."
Measurements_of_Pollution_In_The_Troposphere_(MOPITT),MOPITT Carbon monoxide summer,CO_Summer,ppbv,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOP_CO_M,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOP_CO_M,0.25°,15-Feb-17,Satellite,Atmospheric,"Deeter, M.N. et al. Operational carbon monoxide retrieval algorithm and selected results for the MOPITT instrument. Journal of Geophysical Research: Atmospheres 108(2003)."
Ozone_Monitoring_Instrument_(OMI),OMI Nitrogen dioxide spring,NO2_Spring,billion molecules/mm2,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_NO2_M,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_NO2_M,0.1°,17-Feb-17,Satellite,Atmospheric,"Boersma, K.F. et al. Near-real time retrieval of tropospheric NO 2 from OMI. Atmospheric Chemistry and Physics 7, 2103-2118 (2007)."
Ozone_Monitoring_Instrument_(OMI),OMI Nitrogen dioxide summer,NO2_Summer,billion molecules/mm2,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_NO2_M,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_NO2_M,0.1°,17-Feb-17,Satellite,Atmospheric,"Boersma, K.F. et al. Near-real time retrieval of tropospheric NO 2 from OMI. Atmospheric Chemistry and Physics 7, 2103-2118 (2007)."
Ozone_Monitoring_Instrument_(OMI),OMI Ozone spring,O3_Spring,Dobson Units,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_OZONE_M,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_OZONE_M,0.25°,15-Feb-17,Satellite,Atmospheric,"Levelt, P.F. et al. The ozone monitoring instrument. IEEE Transactions on geoscience and remote sensing 44, 1093-1101 (2006)."
Ozone_Monitoring_Instrument_(OMI),OMI Ozone summer,O3_Summer,Dobson Units,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_OZONE_M,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_OZONE_M,0.25°,15-Feb-17,Satellite,Atmospheric,"Levelt, P.F. et al. The ozone monitoring instrument. IEEE Transactions on geoscience and remote sensing 44, 1093-1101 (2006)."
SiB3_Modeled_Global_1-degree_Hourly_Biosphere-Atmosphere_Carbon_Flux,SIB3 carbon flux spring,SIB3_carbon_flux_spring,mol/m2/seg,https://webmap.ornl.gov/wcsdown/wcsdown.jsp?dg_id=909_132,1998-2006,https://webmap.ornl.gov/wcsdown/wcsdown.jsp?dg_id=909_132,1°,21-Nov-16,Satellite,Atmospheric,"Baker, I.T. et al. SiB3 Modeled Global 1-degree Hourly Biosphere-Atmosphere Carbon Flux, 1998-2006. Data set. Available on-line [http://daac. ornl. gov/] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, USA doi 10(2009)."
SiB3_Modeled_Global_1-degree_Hourly_Biosphere-Atmosphere_Carbon_Flux,SIB3 carbon flux summer,SIB3_carbon_flux_summer,mol/m2/seg,https://webmap.ornl.gov/wcsdown/wcsdown.jsp?dg_id=909_132,1998-2006,https://webmap.ornl.gov/wcsdown/wcsdown.jsp?dg_id=909_132,1°,21-Nov-16,Satellite,Atmospheric,"Baker, I.T. et al. SiB3 Modeled Global 1-degree Hourly Biosphere-Atmosphere Carbon Flux, 1998-2006. Data set. Available on-line [http://daac. ornl. gov/] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, USA doi 10(2009)."
Ozone_Monitoring_Instrument_(OMI),OMI UV index spring,UV_index_spring,NASA Earth Observations,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_UVI_CLIM_M,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_UVI_CLIM_M,0.5°,16-Feb-17,Satellite,Radiation,"Tanskanen, A., Krotkov, N.A., Herman, J.R. & Arola, A. Surface ultraviolet irradiance from OMI. IEEE transactions on Geoscience and Remote Sensing 44, 1267-1271 (2006)."
Ozone_Monitoring_Instrument_(OMI),OMI UV index summer,UV_index_Summer,NASA Earth Observations,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_UVI_CLIM_M,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_UVI_CLIM_M,0.5°,16-Feb-17,Satellite,Radiation,"Tanskanen, A., Krotkov, N.A., Herman, J.R. & Arola, A. Surface ultraviolet irradiance from OMI. IEEE transactions on Geoscience and Remote Sensing 44, 1267-1271 (2006)."
Clouds_and_Earth's_Radiant_Energy_System_(CERES),CERES Solar insolation spring,Solar_insolation_spring,W/m2,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=CERES_INSOL_M,2006-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=CERES_INSOL_M,0.25°,18-Feb-17,Satellite,Radiation,"Wielicki, B.A. et al. Clouds and the Earth's Radiant Energy System (CERES): algorithm overview. IEEE Transactions on Geoscience and Remote Sensing 36, 1127-1141 (1998)."
Clouds_and_Earth's_Radiant_Energy_System_(CERES),CERES Solar insolation summer,Solar_insolation_summer,W/m2,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=CERES_INSOL_M,2006-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=CERES_INSOL_M,0.25°,18-Feb-17,Satellite,Radiation,"Wielicki, B.A. et al. Clouds and the Earth's Radiant Energy System (CERES): algorithm overview. IEEE Transactions on Geoscience and Remote Sensing 36, 1127-1141 (1998)."
